duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
3,tcp,https,SF,1431,6232,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,22,12,0.03,0.03,0.01,0.05,0.82,0.02,0.08,129,221,0.88,0.02,0.05,0.0,0.05,0.04,0.01,0.04
40,udp,ftp_data,SF,4157,2475,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,11,49,0.03,0.02,0.03,0.0,0.87,0.05,0.09,182,170,0.8,0.01,0.05,0.05,0.04,0.02,0.05,0.01
91,tcp,smtp,SF,3476,850,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,43,19,0.04,0.02,0.04,0.04,0.96,0.05,0.04,204,180,0.82,0.02,0.05,0.01,0.01,0.04,0.03,0.03
43,tcp,https,SF,1990,4757,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,45,38,0.01,0.03,0.05,0.04,0.95,0.09,0.01,123,118,0.83,0.06,0.0,0.06,0.0,0.05,0.0,0.03
57,udp,https,SF,3733,5023,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,48,10,0.01,0.02,0.03,0.0,0.91,0.09,0.02,229,101,0.98,0.0,0.02,0.07,0.01,0.03,0.02,0.04
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,12,0.0,0.0,0.88,0.96,0.01,0.59,0.77,222,25,0.05,0.37,0.03,0.7,0.0,0.0,0.92,0.97
95,udp,ftp_data,SF,885,128,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,38,16,0.0,0.0,0.0,0.01,0.97,0.01,0.01,108,149,0.99,0.04,0.01,0.09,0.01,0.03,0.01,0.05
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0.0,0.0,0.91,0.82,0.08,0.48,0.56,226,16,0.06,0.45,0.01,0.56,0.0,0.0,0.91,0.98
48,tcp,https,SF,4790,4208,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11,10,0.02,0.01,0.04,0.03,0.82,0.05,0.08,223,218,0.87,0.08,0.07,0.08,0.03,0.04,0.02,0.03
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,20,0.98,0.95,0.0,0.0,0.13,0.1,0.0,237,2,0.11,0.1,0.02,0.0,0.94,0.97,0.0,0.0
