duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
39,tcp,http,SF,4693,3462,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,38,16,0.02,0.04,0.05,0.01,0.85,0.08,0.05,254,100,0.91,0.03,0.09,0.04,0.05,0.04,0.01,0.05
29,tcp,http,SF,4812,7528,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,19,15,0.05,0.05,0.03,0.04,0.97,0.08,0.09,162,100,0.93,0.05,0.02,0.08,0.03,0.01,0.03,0.02
21,udp,smtp,SF,4327,6499,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,30,47,0.02,0.02,0.0,0.03,0.87,0.04,0.03,203,155,0.85,0.03,0.03,0.03,0.04,0.0,0.03,0.0
7,tcp,http,SF,3106,3818,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,19,15,0.03,0.02,0.02,0.04,0.97,0.08,0.03,167,166,0.98,0.08,0.03,0.01,0.01,0.0,0.01,0.02
99,tcp,smtp,SF,309,4969,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,21,26,0.04,0.02,0.01,0.01,0.99,0.02,0.09,230,189,0.87,0.07,0.08,0.07,0.01,0.01,0.02,0.05
93,udp,http,SF,1057,6532,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,43,27,0.04,0.01,0.03,0.0,0.94,0.09,0.06,227,181,0.83,0.03,0.03,0.07,0.04,0.03,0.05,0.03
41,tcp,https,SF,1715,4840,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,25,21,0.03,0.03,0.04,0.04,0.94,0.04,0.03,183,149,0.92,0.0,0.04,0.07,0.0,0.01,0.02,0.03
45,udp,smtp,SF,2597,2582,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13,22,0.03,0.0,0.02,0.02,0.97,0.02,0.09,142,209,0.87,0.04,0.07,0.09,0.02,0.05,0.02,0.03
74,tcp,http,SF,1949,7215,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,7,2,0.03,0.05,0.0,0.02,0.94,0.01,0.0,133,177,0.81,0.04,0.05,0.04,0.03,0.03,0.04,0.01
58,udp,ftp_data,SF,542,3663,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,28,44,0.04,0.04,0.03,0.01,0.82,0.04,0.01,193,231,0.81,0.09,0.02,0.08,0.01,0.04,0.03,0.04
19,tcp,smtp,SF,4662,1935,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,35,48,0.04,0.01,0.01,0.01,0.88,0.09,0.05,171,189,0.91,0.08,0.08,0.03,0.02,0.02,0.03,0.02
9,udp,smtp,SF,4739,1258,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,20,48,0.01,0.01,0.02,0.03,0.84,0.02,0.06,107,231,0.89,0.03,0.0,0.05,0.04,0.04,0.04,0.04
99,udp,ftp_data,SF,1976,4482,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,43,27,0.02,0.03,0.05,0.01,0.97,0.04,0.06,167,100,0.93,0.05,0.02,0.05,0.04,0.0,0.02,0.03
51,udp,ftp_data,SF,4439,4135,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,47,27,0.03,0.02,0.05,0.02,0.96,0.09,0.06,203,218,0.84,0.02,0.07,0.03,0.01,0.03,0.02,0.04
40,tcp,smtp,SF,2875,4167,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,27,35,0.05,0.01,0.0,0.05,0.98,0.06,0.1,158,120,0.97,0.08,0.06,0.07,0.04,0.04,0.04,0.03
85,tcp,http,SF,564,2420,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,18,12,0.04,0.03,0.02,0.05,0.85,0.0,0.05,172,225,0.94,0.09,0.08,0.01,0.02,0.0,0.03,0.01
98,tcp,smtp,SF,2441,6288,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,3,39,0.0,0.04,0.05,0.0,0.84,0.02,0.01,137,195,0.87,0.06,0.02,0.01,0.02,0.03,0.0,0.02
75,udp,http,SF,2226,6334,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,25,26,0.05,0.05,0.01,0.02,0.84,0.02,0.07,254,117,0.8,0.05,0.02,0.07,0.01,0.01,0.03,0.03
40,tcp,https,SF,3722,5890,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,37,40,0.04,0.02,0.02,0.04,0.93,0.01,0.01,254,203,0.89,0.03,0.06,0.07,0.04,0.01,0.04,0.04
77,tcp,smtp,SF,2047,6140,0,0,0,2,0,1,0,0,0,0,2,0,3,0,0,0,4,16,0.02,0.02,0.02,0.05,0.95,0.05,0.09,162,170,1.0,0.03,0.09,0.0,0.04,0.01,0.01,0.03
72,tcp,ftp_data,SF,2059,7911,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,36,5,0.01,0.02,0.01,0.03,0.81,0.07,0.09,188,222,0.99,0.05,0.06,0.05,0.0,0.03,0.01,0.02
64,tcp,ftp_data,SF,3346,2494,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,43,17,0.05,0.01,0.01,0.01,0.9,0.06,0.05,212,195,0.9,0.08,0.07,0.07,0.01,0.01,0.02,0.01
37,tcp,ftp_data,SF,3198,4949,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,32,24,0.01,0.0,0.01,0.03,0.88,0.05,0.04,212,148,0.86,0.0,0.09,0.02,0.04,0.02,0.03,0.04
